Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
32,117,3.2e+07,70,2,98,39,11.111,2,2,10.526,5,10.309,8,-60.932,-62.095,30.465
32,117,3.2e+07,105,4.5,50,9,10.256,2,2,8.9552,17,10.204,9,-53.449,-54.055,25.231
96,45,9.6e+07,70,-0.5,14,9,13.333,0,2,9.6774,14,15.385,3,-74.861,-57.324,26.748
64,59,6.4e+07,55,2.5,41,11,10.169,1,0,11.111,9,7.5,18,-63.885,-62.629,32.701
32,117,3.2e+07,105,0.5,113,54,11.111,0,3,0,0,10.714,9,-65.546,-54.055,24.257
64,59,6.4e+07,90,4,34,4,11.864,1,1,8,0,12.121,1,-57.479,-54.471,26.709
64,59,6.4e+07,60,-1.5,3,27,11.864,1,0,10.714,3,0,0,-75.672,-61.435,29.774
96,45,9.6e+07,60,-4,4,19,13.333,2,0,12.195,0,0,0,-84.812,-59.674,25.66
96,45,9.6e+07,55,3,13,10,13.333,1,2,9.375,0,16.667,3,-63.729,-60.868,32.057
32,117,3.2e+07,60,3.5,62,3,11.111,2,2,10.909,16,9.8361,4,-56.56,-64.445,29.405
64,59,6.4e+07,100,0.5,41,11,10.169,0,0,11.111,12,7.5,18,-69.461,-52.185,22.604
96,45,9.6e+07,95,-5,11,12,13.333,1,1,11.765,11,10,0,-87.472,-51.566,16.565
96,45,9.6e+07,70,2.5,44,21,13.333,0,2,0,0,11.628,4,-65.973,-57.324,29.268
32,117,3.2e+07,110,3.5,106,47,11.111,1,2,9.0909,3,10.476,16,-56.32,-52.916,24.782
96,45,9.6e+07,50,2,20,3,13.333,0,2,12,15,10.526,6,-67.943,-62.081,33.08
64,59,6.4e+07,95,-2,42,12,11.864,0,1,11.765,12,9.7561,8,-76.811,-53.327,21.308
96,45,9.6e+07,110,-1,26,3,13.333,1,3,10.526,2,12,0,-74.923,-48.145,17.135
32,117,3.2e+07,75,-0.5,50,9,11.111,2,5,5.9701,15,16.327,1,-67.71,-60.934,29.606
96,45,9.6e+07,105,4.5,9,14,13.333,2,2,8.3333,9,25,3,-59.578,-49.284,23.396
96,45,9.6e+07,120,3.5,25,2,11.111,0,2,5,14,12.5,0,-61.969,-45.869,19.264
64,59,6.4e+07,100,3,25,5,11.864,0,1,14.706,15,4.1667,6,-61.849,-52.185,24.739
96,45,9.6e+07,55,5,25,2,13.333,1,1,5,4,16.667,9,-58.711,-60.868,31.647
64,59,6.4e+07,90,3,40,10,11.864,0,2,0,0,15.385,3,-61.674,-54.471,26.714
64,59,6.4e+07,60,3,25,5,11.864,1,2,5.8824,4,16.667,1,-61.522,-61.435,31.468
64,59,6.4e+07,120,5,27,3,10.169,1,1,9.375,10,7.6923,1,-55.4,-47.63,21.959
96,45,9.6e+07,120,-5,15,8,13.333,2,2,10,0,14.286,7,-87.349,-45.869,10.869
96,45,9.6e+07,115,-1,31,8,13.333,1,3,7.1429,10,13.333,1,-75.661,-47.006,16
96,45,9.6e+07,50,4.5,6,17,13.333,1,0,12.821,7,0,0,-60.549,-62.081,32.738
96,45,9.6e+07,95,1.5,12,11,13.333,3,2,9.0909,3,18.182,2,-68.31,-51.566,22.975
32,117,3.2e+07,90,5,4,55,11.111,5,0,10.619,1,0,0,-50.791,-57.481,24.948
64,59,6.4e+07,85,-4,53,23,11.864,1,1,16.667,3,9.6154,10,-82.765,-55.618,21.61
32,117,3.2e+07,115,-0.5,113,54,11.111,0,4,0,0,10.714,8,-68.451,-51.778,21.185
96,45,9.6e+07,85,-5,6,17,13.333,3,0,12.821,2,0,0,-88.122,-53.857,18.855
32,117,3.2e+07,90,-2.5,51,8,11.111,1,2,10.606,3,10,8,-74.081,-57.481,24.887
64,59,6.4e+07,95,-3.5,10,20,11.864,1,1,10.204,10,11.111,8,-81.395,-53.327,19.82
96,45,9.6e+07,65,-3.5,34,11,13.333,0,2,0,0,15.152,4,-84.042,-58.494,24.981
96,45,9.6e+07,55,1.5,27,4,11.111,1,2,5.5556,11,11.538,9,-69.363,-60.868,31.793
96,45,9.6e+07,60,1,18,5,13.333,1,3,3.7037,8,23.529,0,-69.47,-59.674,30.241
32,117,3.2e+07,95,-3.5,81,22,11.111,3,1,13.889,4,8.75,20,-77.13,-56.337,22.801
96,45,9.6e+07,110,-2.5,35,12,13.333,1,1,10,7,11.765,10,-80.868,-48.145,15.642
96,45,9.6e+07,60,-1,6,17,13.333,0,0,12.821,18,0,0,-76.886,-59.674,28.592
64,59,6.4e+07,80,2,56,26,11.864,0,1,0,0,10.909,10,-65.06,-56.768,28.168
96,45,9.6e+07,80,-5,33,10,13.333,0,1,0,0,15.625,7,-88.533,-55.008,20.006
96,45,9.6e+07,55,-5,3,20,13.333,1,0,11.905,5,0,0,-88.876,-60.868,25.861
64,59,6.4e+07,105,-5,49,19,11.864,1,0,10,4,10.417,17,-85.839,-51.045,16.043
32,117,3.2e+07,80,0,79,20,11.111,4,3,10.526,9,10.256,6,-66.491,-59.779,28.939
32,117,3.2e+07,65,-3,115,56,11.111,0,3,0,0,10.526,7,-76.319,-63.265,30.055
96,45,9.6e+07,110,1.5,17,6,13.333,0,0,10.714,21,12.5,12,-68.937,-48.145,19.609
64,59,6.4e+07,60,5,16,14,11.864,2,3,6.9767,0,20,0,-54.269,-61.435,28.506
32,117,3.2e+07,75,-5,22,37,11.111,3,3,9.4737,8,14.286,10,-81.74,-60.934,25.898
32,117,3.2e+07,120,-4.5,30,29,11.111,2,2,10.345,12,10.345,0,-78.942,-50.64,16.134
32,117,3.2e+07,105,1.5,1,58,11.111,2,0,10.345,3,0,0,-62.333,-54.055,24.953
96,45,9.6e+07,75,1.5,4,19,11.111,0,0,9.7561,17,0,0,-69.194,-56.163,27.452
64,59,6.4e+07,50,-1,31,1,11.864,0,1,10.714,12,10,0,-73.438,-63.842,32.39
32,117,3.2e+07,95,-3,14,45,11.111,4,2,9.7087,0,15.385,6,-73.716,-56.337,23.259
64,59,6.4e+07,120,5,31,1,11.864,2,0,10.714,5,10,12,-55.651,-47.63,21.994
64,59,6.4e+07,90,-2,38,8,11.864,2,1,9.5238,0,10.811,1,-75.523,-54.471,22.437
32,117,3.2e+07,110,-2.5,18,41,10.256,2,3,8.0808,7,17.647,11,-74.271,-52.916,20.384
96,45,9.6e+07,70,-3,31,8,13.333,1,1,14.286,9,10,9,-82.492,-57.324,24.311
32,117,3.2e+07,115,-4,35,24,11.111,2,2,12.195,16,5.8824,7,-78.845,-51.778,17.769
32,117,3.2e+07,50,1,20,39,11.111,2,2,10.309,7,10.526,8,-64.363,-66.852,33.421
32,117,3.2e+07,115,-3.5,47,12,11.111,2,5,7.1429,17,15.217,1,-76.342,-51.778,18.262
32,117,3.2e+07,70,-3.5,60,1,11.111,1,5,7.0175,0,13.559,4,-75.741,-62.095,28.412
64,59,6.4e+07,115,2.5,24,6,11.864,3,1,8.5714,4,13.043,6,-62.987,-48.767,21.106
32,117,3.2e+07,110,-1,11,48,11.111,0,1,10.377,28,10,2,-69.806,-52.916,21.828
32,117,3.2e+07,75,2,6,53,11.111,2,0,10.811,1,0,0,-60.634,-60.934,29.771
64,59,6.4e+07,85,-2,19,11,11.864,1,2,10,6,11.111,1,-76.361,-55.618,23.582
64,59,6.4e+07,85,-5,21,9,11.864,1,3,7.8947,4,15,0,-84.51,-55.618,20.612
64,59,6.4e+07,60,4,4,26,11.864,0,1,9.0909,13,33.333,1,-58.794,-61.435,30.906
32,117,3.2e+07,105,-1.5,45,14,11.111,2,3,8.3333,6,13.636,1,-70.079,-54.055,22.448
64,59,6.4e+07,70,-3.5,7,23,11.864,2,0,11.538,8,0,0,-81.477,-59.085,25.56
96,45,9.6e+07,105,5,18,5,11.111,1,2,7.4074,4,11.765,0,-57.059,-49.284,23.613
96,45,9.6e+07,60,-0.5,10,13,13.333,2,1,11.429,2,11.111,7,-74.782,-59.674,29.042
96,45,9.6e+07,120,1.5,38,15,13.333,2,0,28.571,3,8.1081,12,-68.595,-45.869,17.346
64,59,6.4e+07,120,3,43,13,11.864,1,0,12.5,0,9.5238,27,-60.899,-47.63,20.43
96,45,9.6e+07,60,-1,36,13,13.333,0,3,0,0,14.286,3,-76.51,-59.674,28.585
32,117,3.2e+07,90,-2,95,36,11.111,2,3,9.0909,15,10.638,13,-73.003,-57.481,25.361
64,59,6.4e+07,65,-4.5,21,9,11.864,2,0,13.158,1,5,18,-84.037,-60.254,25.736
64,59,6.4e+07,115,2,37,7,11.864,3,1,18.182,3,5.5556,10,-64.435,-48.767,20.651
32,117,3.2e+07,110,-3,59,0,11.111,3,1,13.793,3,6.8966,11,-75.529,-52.916,19.892
64,59,6.4e+07,120,-1.5,40,10,10.169,0,3,5.2632,13,10.256,2,-74.864,-47.63,16.122
32,117,3.2e+07,75,0,20,39,11.111,2,4,8.2474,3,21.053,2,-65.835,-60.934,29.717
96,45,9.6e+07,75,4,23,0,13.333,3,0,22.727,4,0,0,-61.344,-56.163,29.012
64,59,6.4e+07,55,0,8,22,11.864,2,0,11.765,5,0,0,-71.208,-62.629,32.065
64,59,6.4e+07,100,2,8,22,10.169,1,0,9.8039,5,0,0,-64.898,-52.185,23.959
32,117,3.2e+07,80,5,40,19,11.111,0,1,11.688,27,7.6923,11,-52.265,-59.779,26.556
64,59,6.4e+07,95,-3.5,58,28,11.864,0,2,0,0,10.526,1,-80.922,-53.327,19.819
64,59,6.4e+07,115,-4.5,50,20,11.864,1,1,11.111,7,10.204,11,-84.309,-48.767,14.266
64,59,6.4e+07,85,1,42,12,11.864,2,2,11.765,2,9.7561,0,-66.363,-55.618,26.267
64,59,6.4e+07,70,5,8,22,11.864,2,0,11.765,0,0,0,-54.887,-59.085,28.487
32,117,3.2e+07,50,3,10,49,11.111,6,0,11.215,2,0,0,-57.602,-66.852,30.115
96,45,9.6e+07,110,-2.5,25,2,13.333,0,3,5,12,16.667,4,-80.65,-48.145,15.642
96,45,9.6e+07,120,-1,38,15,13.333,0,1,0,0,13.514,8,-76.407,-45.869,14.865
64,59,6.4e+07,55,-3,16,14,11.864,1,2,9.3023,2,13.333,2,-79.722,-62.629,29.545
64,59,6.4e+07,105,-2,28,2,11.864,2,1,12.903,3,7.4074,7,-76.477,-51.045,19.032
32,117,3.2e+07,85,3,39,20,11.111,1,1,10.256,15,10.526,8,-58.054,-58.628,28.321
32,117,3.2e+07,60,-3.5,106,47,10.256,1,3,9.0909,7,9.5238,3,-77.478,-64.445,30.734
32,117,3.2e+07,65,0,69,10,11.111,3,0,14.583,5,7.3529,29,-67.059,-63.265,31.75
32,117,3.2e+07,100,-2.5,7,52,11.111,2,0,10.909,10,0,0,-74.663,-55.195,22.647
32,117,3.2e+07,110,-1.5,3,56,11.111,1,0,10.526,0,0,0,-70.144,-52.916,21.334
32,117,3.2e+07,80,-4.5,102,43,10.256,4,1,26.667,0,6.9307,20,-78.465,-59.779,25.22
32,117,3.2e+07,110,4,100,41,11.111,3,2,17.647,4,9.0909,5,-54.239,-52.916,24.517
32,117,3.2e+07,50,1,24,35,11.111,3,3,9.6774,6,13.043,4,-64.092,-66.852,33.246
96,45,9.6e+07,60,-3,23,0,11.111,2,0,9.0909,2,9.0909,17,-82.535,-59.674,26.651
32,117,3.2e+07,70,1.5,9,50,11.111,1,0,11.111,4,0,0,-62.805,-62.095,30.925
32,117,3.2e+07,75,-1.5,41,18,11.111,0,5,7.8947,31,15,0,-69.939,-60.934,28.92
96,45,9.6e+07,115,5,1,22,13.333,2,0,11.364,0,0,0,-57.483,-47.006,21.634
96,45,9.6e+07,60,1,30,7,13.333,3,2,20,0,6.8966,2,-69.465,-59.674,30.24
64,59,6.4e+07,85,-1.5,53,23,11.864,0,1,0,0,11.538,6,-75.352,-55.618,24.072
